P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,Targetxvel,Targetyvel,Targetzvel,Containmentxpos,Containmentypos,Containmentzpos,targetcontained,trialtime
22.74938,1,-20.31198,2.559025,15.96875,0.5,-14.25453,-0.9785998,0,0.8729977,0,0.2,0,False,355.56
22.74464,1,-20.29771,2.267589,15.95896,0.5,-14.2458,-0.9787877,0,0.8731658,0,0.2,0,False,355.57
22.72992,1,-20.29462,2.558887,15.94918,0.5,-14.23707,-0.9787681,0,0.873149,0,0.2,0,False,355.58
22.72516,1,-20.28035,2.26772,15.93939,0.5,-14.22834,-0.9789496,0,0.8733162,0,0.2,0,False,355.59
22.71045,1,-20.27725,2.558753,15.9296,0.5,-14.2196,-0.9789288,0,0.8732984,0,0.2,0,False,355.6
22.70569,1,-20.26298,2.26785,15.91981,0.5,-14.21087,-0.9791095,0,0.8734647,0,0.2,0,False,355.61
22.69097,1,-20.25988,2.558617,15.91002,0.5,-14.20213,-0.9790822,0,0.8734459,0,0.2,0,False,355.62
22.68621,1,-20.24562,2.26798,15.90022,0.5,-14.1934,-0.979267,0,0.8736112,0,0.2,0,False,355.63
22.6715,1,-20.24251,2.55848,15.89043,0.5,-14.18466,-0.9792441,0,0.8735914,0,0.2,0,False,355.64
22.66673,1,-20.22825,2.268111,15.88064,0.5,-14.17592,-0.9794226,0,0.8737558,0,0.2,0,False,355.65
22.65202,1,-20.22513,2.558342,15.87084,0.5,-14.16719,-0.9793986,0,0.8737351,0,0.2,0,False,355.66
22.64724,1,-20.21088,2.26824,15.86105,0.5,-14.15845,-0.9795762,0,0.8738986,0,0.2,0,False,355.67
22.63253,1,-20.20776,2.558203,15.85125,0.5,-14.14971,-0.9795458,0,0.873877,0,0.2,0,False,355.68
22.62775,1,-20.19351,2.268372,15.84145,0.5,-14.14097,-0.9797279,0,0.8740397,0,0.2,0,False,355.69
22.61305,1,-20.19038,2.558066,15.83166,0.5,-14.13223,-0.9797019,0,0.8740171,0,0.2,0,False,355.7
22.60826,1,-20.17613,2.268503,15.82186,0.5,-14.12349,-0.9798776,0,0.8741789,0,0.2,0,False,355.71
22.59356,1,-20.17299,2.557926,15.81206,0.5,-14.11475,-0.9798505,0,0.8741553,0,0.2,0,False,355.72
22.58876,1,-20.15875,2.268633,15.80226,0.5,-14.106,-0.9800254,0,0.8743164,0,0.2,0,False,355.73
22.57407,1,-20.15561,2.557785,15.79246,0.5,-14.09726,-0.9799972,0,0.8742918,0,0.2,0,False,355.74
22.56927,1,-20.14137,2.268762,15.78266,0.5,-14.08852,-0.9801712,0,0.8744521,0,0.2,0,False,355.75
22.55458,1,-20.13822,2.557646,15.77286,0.5,-14.07977,-0.9801421,0,0.8744265,0,0.2,0,False,355.76
22.54977,1,-20.12399,2.268895,15.76305,0.5,-14.07103,-0.980315,0,0.8745858,0,0.2,0,False,355.77
22.53508,1,-20.12083,2.557508,15.75325,0.5,-14.06228,-0.980285,0,0.8745595,0,0.2,0,False,355.78
22.53027,1,-20.1066,2.269025,15.74345,0.5,-14.05353,-0.9804569,0,0.8747179,0,0.2,0,False,355.79
22.51558,1,-20.10343,2.557367,15.73364,0.5,-14.04479,-0.980426,0,0.8746908,0,0.2,0,False,355.8
22.51076,1,-20.08921,2.269158,15.72384,0.5,-14.03604,-0.9805971,0,0.8748484,0,0.2,0,False,355.81
22.49608,1,-20.08604,2.557228,15.71403,0.5,-14.02729,-0.9805651,0,0.8748203,0,0.2,0,False,355.82
22.49125,1,-20.07182,2.269292,15.70422,0.5,-14.01854,-0.9807354,0,0.8749771,0,0.2,0,False,355.83
22.47658,1,-20.06864,2.557086,15.69442,0.5,-14.00979,-0.9807025,0,0.8749481,0,0.2,0,False,355.84
22.47174,1,-20.05442,2.269423,15.68461,0.5,-14.00104,-0.9808719,0,0.8751041,0,0.2,0,False,355.85
22.45707,1,-20.05124,2.556945,15.6748,0.5,-13.99229,-0.9808381,0,0.8750744,0,0.2,0,False,355.86
22.45223,1,-20.03702,2.269558,15.66499,0.5,-13.98354,-0.9810068,0,0.8752297,0,0.2,0,False,355.87
22.43756,1,-20.03383,2.556806,15.65518,0.5,-13.97479,-0.9809666,0,0.875199,0,0.2,0,False,355.88
22.43272,1,-20.01962,2.269692,15.64537,0.5,-13.96603,-0.9811397,0,0.8753534,0,0.2,0,False,355.89
22.41805,1,-20.01642,2.556665,15.63556,0.5,-13.95728,-0.981104,0,0.8753219,0,0.2,0,False,355.9
22.4132,1,-20.00222,2.269827,15.62575,0.5,-13.94852,-0.9812709,0,0.8754756,0,0.2,0,False,355.91
22.39854,1,-19.99902,2.556525,15.61593,0.5,-13.93977,-0.9812343,0,0.8754433,0,0.2,0,False,355.92
22.39368,1,-19.98481,2.269963,15.60612,0.5,-13.93102,-0.9814005,0,0.8755963,0,0.2,0,False,355.93
22.37902,1,-19.9816,2.556385,15.59631,0.5,-13.92226,-0.9813629,0,0.8755631,0,0.2,0,False,355.94
22.37416,1,-19.96741,2.270098,15.58649,0.5,-13.9135,-0.9815282,0,0.8757153,0,0.2,0,False,355.95
22.3595,1,-19.96419,2.556244,15.57668,0.5,-13.90475,-0.9814898,0,0.875676,0,0.2,0,False,355.96
22.35464,1,-19.95,2.270235,15.56686,0.5,-13.89599,-0.9816543,0,0.8758329,0,0.2,0,False,355.97
22.33998,1,-19.94678,2.556103,15.55704,0.5,-13.88723,-0.9816151,0,0.8757981,0,0.2,0,False,355.98
22.33511,1,-19.93259,2.270371,15.54723,0.5,-13.87847,-0.9817786,0,0.8759488,0,0.2,0,False,355.99
22.32046,1,-19.92936,2.555962,15.53741,0.5,-13.86971,-0.9817332,0,0.8759133,0,0.2,0,False,356
22.31558,1,-19.91517,2.270509,15.52759,0.5,-13.86095,-0.9819014,0,0.8760633,0,0.2,0,False,356.01
